county	state	case_fatality_rate
Orleans	New York	11.600864230243982
Sussex	New Jersey	10.70420156174746
Warren	New Jersey	9.613881767671472
Morris	New Jersey	8.538473005593879
Somerset	New Jersey	8.49035563121808
Essex	New Jersey	8.441283640857463
Hartford	Connecticut	8.301789110771805
Cape May	New Jersey	8.271126746965619
Bergen	New Jersey	7.840371944694303
Wayne	Michigan	7.758423164039933
